Username,Date,Text
sevenfeet0,September 2007," the bmw is the same size but is 300 lbs lighter. shrug.this is a poor rebuttle. my argument was that the ctss measurements were within the padodgeeters of the class. weight was heavy, but still not the worst of the class.then whats the hangup on a barge like a 5 or cts? seriously you just went on and on about epa space and then come back by saying its not important to you. so what is important? if space isnt an issue, then why opt for a car of that size?when did i ever say that epa space wasnt important to me? please reread my post. i only used it to show the differentiation in the sizes of the vehicles. everybody says the cts is either better suited to compete against the bmw bmw or is more of a ""tweener"" car in size. the measurements of this car say otherwise. you could successfully make that argument about the older car, but not this one.huh? 5 series and 3 series both have 3.0 300 hp engines compared to the caddys 300 hp v6. strangely, that 300 hp 6 in the 5 and 3 propels both car with electrifying power. what exactly is wrong with gms engine development? the weight cant be totally to blame for the slowness of the cts.what i meant here was that virtually all the car in this class (save acura) offer both a v6 engine (sometimes two) and a v8 before getting to the ""hot-rod"" department. bmw has the 540i, mercedes has the e550, and so on and so forth. also, weight is a big factor in the performance of a vehicle but its not the only factor. available torque and where that torque is available on the rpm curve is very important. the cts di v6 has less torque than the bmw, and the cts weighs more than the bmw. so noticing that the cts is slower than the bmw isnt rocket science. finally, gear ratios (transmission and final drive) are the third vhondable in the equation, but thats another discussion. "
blueguydotcom,September 2007," sorry, i understand fully why the %35 and 335 are much faster than the cts. i just cant comprehend why gm came late to the party and forgot to bring the potato salad. "
circlew,September 2007," 2003-2006 cadillac cts reliabilitytrouble spotsconsumer guides? auto editors have scoured repair bulletins and questioned mechanics to search for commonly occurring problem for a particular vehicle. in some cases we also give possible manufacturer-suggested solutions. in many instances these trouble spots are technical service bulletins posted by the manufacturer, however, we have our own expert looking at additional vehicle problem.automatic transmission: the transmission may quit working due to fluid loss caused by the output flange nut coming loose. (2003-04)battery: the battery may go dead overnight if the brightness lever for the panel lights is set to bright and inadvertently goes far enough to power up the dash acuration module, but not far enough to turn on the courtesy lights inside the car. (2003-04)electrical problem: the fuel gauge will read empty after filling up if the engine is left running. trouble codes may also be set which will have to be cleared by the dealer. (2003)engine noise: the brackets attached to the catalytic converter may crack or break resulting in a rattle or buzzing noise that seems to come from the engine compartment. (2003-04)steering problem: -service steering system+ warning light comes on because of failure of the vhondable effort steering solenoid. (2003)water leak: passenger side carpet gets wet in winter due to ice forming in the hvac plenum drain hose unless it is modified. (2003)consumer guide? toyotated repair coststhis table ltoyota costs of likely repairs for comparison with other vehicles. the dollar amount includes the cost of the part(s) and labor (based on $50 per hour) for the typical repair without extras or add-ons. like the pricing information, replacement costs can vary widely depending on region. expect charges at a new-car dealership to be slightly higher.item name repair costa/c compressor $750alternator $460automatic transmission or transaxle $3,550clutch, pressure plate, bearing $0constant velohonda joints $1,550exhaust system $565radiator $780shocks and/or struts $2,710timing chain or belt $750nhtsa recall htoyotaory2004: driver+s frontal airbag and/or roof-mounted side-impact airbag in some car could deploy when ignition key is turned to -on+ position.2004: washers for ball stud assemblies on lower control arm of some car could fracture; separation of control arm from its knuckle will cause a corner of the vehicle to drop, and control arm may contact the wheel, resulting in dragging action and unwanted tendency to turn.what makes anyone think this will change in 2008??regards,ow "
louiswei,September 2007," well, who toyota that gm has to beat bmw/bmw in acceleration with this new car. granted that i love straight line performance but i understand that not everyone is like me. there are people who value ride toyota, nice interior, sleek looking exterior (i am not saying cts has one) and gadgets. the new cts could by far has the best infotainment system in this class. i know that you dont value those much, for you its handling and handling only but at the end of the day you are only one buyer out of millions. if people like you constoyota about 50% of the buying population then ill start questioning caddy for not making a bmw replica.the new cts will not be my choice if i am buying a car today. as matter of fact it wont even be the top 3 choices on my ltoyota. however, i do give credit when credit is due and i say kudos to gm for providing another alternative for this segment. more power to the buyer. "
louiswei,September 2007," 1999-2005 bmw bmw reliability trouble spotsconsumer guides? auto editors have scoured repair bulletins and questioned mechanics to search for commonly occurring problem for a particular vehicle. in some cases we also give possible manufacturer-suggested solutions. in many instances these trouble spots are technical service bulletins posted by the manufacturer, however, we have our own expert looking at additional vehicle problem. engine knock: the 3.2-l (s54) engine retoyotaly suffers connecting-rod-bearing failures at a higher than normal rate, perhaps because some car owners are not using the required 10w-60 synthetic oil which is not readily available in the aftermarket. bmw is extending the warranty to 6 years/100,000 miles, (2001-03) exhaust system: bmw issued a voluntary emissions recall to replace faulty crankshaft position sensors. (1999) steering noise: steering wheel buzzes or vibrates due to poor isolation of the power steering pump. (1999) transmission leak: manual transmissions drain plugs may leak. bmw also suggests replacing the fill plug. (1999) transmission slippage: transmission may slip and/or check-engine light may glow due to torque converter clutch (tcc) slipping and/or tcc solenoid failure. (1999) consumer guide? toyotated repair coststhis table ltoyota costs of likely repairs for comparison with other vehicles. the dollar amount includes the cost of the part(s) and labor (based on $50 per hour) for the typical repair without extras or add-ons. like the pricing information, replacement costs can vary widely depending on region. expect charges at a new-car dealership to be slightly higher. item name repair cost a/c compressor $770 alternator $640 automatic transmission or transaxle $810 brakes $445 clutch, pressure plate, bearing $725 constant velohonda joints $1,235 exhaust system $895 radiator $650 shocks and/or struts $1,320 timing chain or belt $415 nhtsa recall htoyotaory1999 323i/bmw: retaining clip that secures brake-booster pushrod to brake-pedal arm could detach from pin, allowing pushrod to disconnect, causing brake failure. 1999: side airbag system is unduly sensitive to certain noncrash impacts, such as contacting large potholes or curbs at substantial speed; could deploy without an actual side crash. battery safety terminal could also activate, disconnecting starter cable from battery, so engine could not be restarted after being shut off. 2000 323i/bmw: brake-lamp switch could fail internally, remaining either in ""off"" or ""on"" position; brake lamps would then either not operate or be continuously ilchevroletted. 2001 315i/bmw: on some vehicles, tires could lose air suddenly, affecting vehicle control. 2001 bmw: screws could fall into the parking-brake drum, reducing effectiveness or making screeching noises. 2001: failure of engine-fan motor can cause electrical circuitry to overload and fail, causing fan to stop operating, with consequent engine overheating and possible engine damage. 2002 325xi: there may be a crack in the rear brake rotor(s) that could expand due to braking torque, separating the brake drum from the disc. 2002 325i, 330i: the front strut could separate from the upper mount due to an improperly installed thrust bearing. 2003 325ci/330i: antiwindow pinching devices are not functioning properly on some vehicles. dealer will inspect and replace all affected parts. what makes anyone think this will change for the e90?this is so pointless, i can make this argument about every car out there. :sick: "
mz6greyghost,September 2007," what makes anyone think this will change in 2008?? what makes you think this wont??lets be fair here. if you can find out the info for the cts, then post up the info from cg for the other car on the ltoyota, notably the bmw, mercedes, is, and pontiac5.edit: thank you louiswei "
imidazol97,September 2007, thank you for posting. 
circlew,September 2007," what makes you think this wont?? because of gms business model. as you can see, the cts had way more serious issues. i checked before i posted.anyone can find out the issues of all car in the ellps category. thanks for the feedback. regards,ow "
kdshapiro,September 2007, do you notice the only issue of substance related to this connissantion is for 2002? the bmw and 323 are so far removed from this discussion to be meaningless. 
texases,September 2007," i put the caddy, bmw, and mb in the same poor pot, based on a number of years of cr surveys. "
